Name FOXC1	   Place                                                                                        
122  -0.133016271  Heart                                                                 
123  -0.198786428  PC3 cells in heart                                                    
124  -0.192184781  PC3 cells in heart                                                    
125  -0.30258883   Tumour                                                                
126  -0.491608055  Normal Cornel endothelium                                                                                         
127  -0.266659422  Fuch's Cornel endothelium                                             
128  -0.085910878  Breast                                                                					
129  -0.641237248  Breast                                                                
131   3.223083632  Mammary Gland                                                         
132  -0.313043983  Pooled Organs in memory gland                                         
135   2.867134135  Mammary Gland                                                         
139  -0.264385589  Mammary Gland                                                         
140  -0.596509714  Brain,ependymoma                                                      				
142  -0.574412619  Brain,astrocytoma                                                     
144   1.930775069  Brain,astrocytoma                                                     
145  -0.646831243  Skin                                                                  
146  -0.875623203  Skin                                                                  	
148  -0.616241372  AIDS-KS lesion                                                        
150  -0.838329902  CD4+ T-cells	                                                         
151  -0.591705555  Pancreatic normal cell                                                
154  -0.255504002  Normal thyroid issue                                                                                                  	
155  -0.258360034  Type2 Gaucher patient gray matter                                     	
157  -0.835217377  Primary gastric cancer tissue                                         	
159  -0.537870476  Primary gastric cancer tissue(adherent type)                          	
161  -0.121834388  Stem cells	                                                         
162  -0.739040559  Stem cells	                                                         
163  -0.88200907   Medulloblastoma,cerebellum	
164   1.002906742  Medulloblastoma,cerebellum  	
165   1.618238069  Medulloblastoma,cerebellum	
166  -0.788531538  Medulloblastoma,cerebellum
167  -0.296437064  Pancreas,epithelium,ductal,carcinoma,cell line	
168  -1.339804699  Pancreas,epithelium,ductal,carcinoma,cell line	
169  -0.219049393  Brain astrocytoma
170  -0.219049393  Brain astrocytoma
172  -0.49894254   Brain astrocytoma	
174  -0.486032381  Mammary Gland,endothelium,ductal,Carcinoma	
175   1.099743114  Leucocytes from breast carcinoma	
177  -0.600078227  Breast carcinoma epithelium	
180  -0.528520688  Normal First trimester placenta
181  -1.002965984  Normal term placenta					
183  -0.360183774  Normal prostate epithelium
184   2.089851762  Braest lung
185  -0.78234313   Mammary gland,normal endothelium
186   1.669320935  Normal leucocytes
187   0.399933909  Mammary Gland
188  -0.171374223  Normal breast stroma																
190   0.18984967   Brain,medulloblastoma,cell line
191  -0.319771841  Stomach
192  -1.337117627  Brain,medulloblastoma
193  -0.040701101  Brain ependymoma
195   0.03984388   Brain, medulloblastoma, cell line
202   2.085933115  Placenta
205  -0.392585383  Brain, medulloblastoma with neuroblastic differentiation
207   0.322033252  Brain, ependymoma
209  -0.314546301  Skin, desmoplastic melanoma metastasis
212   1.9996435    Brain desmoplastic medulloblastoma
213  -0.077461059  Brain desmoplastic medulloblastoma
214  -0.796091981  Brain desmoplastic medulloblastoma
215   1.792293153  Bone marrow
218  -0.77123453   Brain, anaplastic medulloblastoma  
222   2.511652841  Brain, medulloblastoma
224  -0.360143061  Brain, medulloblastoma, metastasis
226   1.064654433  Brain, large cell medulloblastoma
228   1.384128964  Breast, carcinoma, ductal, invasive
229  -0.802789304  Normal liver
231  -0.508003265  Primary ductal in situ breast carcinoma
233  -0.621648086  Normal bone marrow
235  -0.628766791  Lung cell line
236  -0.406440089  Lung cell line
237   0.270934101  Lung cell line
238   1.807847635  Lung, poor differentiated adenocarcinoma with lymphoplasmatic infiltration
239   0.48482299   Neonatal BJ foreskin primary fibroblasts
240  -1.291840465  Neonatal BJ foreskin primary fibroblasts
241   2.458377569  AT dermal fibroblasts
245   1.422297599  Cultured THP-1 cells, proliferating
247  -0.493885959  Normal adrenal cortex
248   2.26056022   Primary pigmented nodular adrenocortical disease
252  -0.655273127  Cartilage chondrosarcoma grade 2
254  -0.757037834  Cartilage chondrosarcoma grade 2 
261  -0.377277216  ER negative breast cancer cell line
263  -0.22230645   ER negative breast cancer cell line
264  -0.348267017  Embryonic stem cell H9
265   2.18857112   Eye lens
266  -0.384815267  Lung tumour, focal fibrosis and chronic inflammation
267  -0.010141765  Pelvis myxoid chondrosarcoma grade 2
268   1.748721875  Cartilage chondrosarcoma grade 3
269   2.567892035  Cartilage chondrosarcoma grade 1
270   1.522580344  Bone marrow CD34+ stem/progenitor cells
271  -0.466190797  Cultured Schwann cells										
272  -0.044053834  Kidney glomerulus 
274  -0.414818868  Kidney proximal straight tubule
275  -0.595443028  Kidney medullary thick ascending limb
276   1.869654361  Kidney cortical thick ascending limb
277  -0.683568809  Kidney distal convoluted tubule
283  -1.126742288  E115 intact developing B6C3H forelimb
284  -0.674290268  E115 intact developing B6C3H forelimb
285  -0.521629977  R1 embryonic stem (ES) cells
